sample,position_read_start_s,position_read_end_s,velocity_read_end_s,write_start_s,write_end_s,telemetry_start_s,telemetry_end_s,joint,servo_id,valid,status,voltage_V,temperature_raw,load_word_raw,current_word_raw,moving_raw,feedback_position_word_raw,feedback_speed_word_raw,left_hip_yaw_target_rad,left_hip_roll_target_rad,left_hip_pitch_target_rad,left_knee_target_rad,left_ankle_target_rad,neck_pitch_target_rad,head_pitch_target_rad,head_yaw_target_rad,head_roll_target_rad,right_hip_yaw_target_rad,right_hip_roll_target_rad,right_hip_pitch_target_rad,right_knee_target_rad,right_ankle_target_rad,left_hip_yaw_actual_rad,left_hip_roll_actual_rad,left_hip_pitch_actual_rad,left_knee_actual_rad,left_ankle_actual_rad,neck_pitch_actual_rad,head_pitch_actual_rad,head_yaw_actual_rad,head_roll_actual_rad,right_hip_yaw_actual_rad,right_hip_roll_actual_rad,right_hip_pitch_actual_rad,right_knee_actual_rad,right_ankle_actual_rad,left_hip_yaw_velocity_rad_s,left_hip_roll_velocity_rad_s,left_hip_pitch_velocity_rad_s,left_knee_velocity_rad_s,left_ankle_velocity_rad_s,neck_pitch_velocity_rad_s,head_pitch_velocity_rad_s,head_yaw_velocity_rad_s,head_roll_velocity_rad_s,right_hip_yaw_velocity_rad_s,right_hip_roll_velocity_rad_s,right_hip_pitch_velocity_rad_s,right_knee_velocity_rad_s,right_ankle_velocity_rad_s
6545,150.748241278,150.750219456,150.752125876,150.753096058,150.753249925,150.75325544400002,150.75423334799999,right_ankle,14,1,0,6.6,29,233,4,1,2145,33068,-0.11132901324890554,0.1632588729262352,0.08655172400176525,-0.09144918620586395,0.021191880106925964,-0.05890098214149475,-0.06143094599246979,-0.01621522754430771,-0.053795311599969864,0.10112377163022757,0.09664728678762913,0.17599279154092073,-0.23127196729183197,0.035855136811733246,-0.09950422044084857,0.1386255029166059,0.10961867616385118,-0.0674951546669682,-0.04295146206079803,-0.038349519697141066,-0.03067961575771294,0.029950122671918322,-0.0008058512405691304,0.11542353217290607,0.12805126201878106,0.17197629055295705,-0.24659593376810512,0.09950422044084857,0.0,0.15343553863686413,-0.07671776931843206,-0.07671776931843206,0.30687107727372825,-0.0,-0.0,-0.30687107727372825,-0.2301533079552962,-0.0,-0.07671776931843206,0.6137421545474565,-0.30687107727372825,-0.4603066159105924
6546,150.76828281200002,150.770242046,150.772149707,150.77310411200003,150.773258293,150.77326284900002,150.774233549,left_hip_pitch,22,1,0,6.6,29,1121,2,1,1717,0,-0.11256127967499197,0.16219404339790344,0.09644864313304424,-0.10388706624507904,0.031223714351654053,-0.05667407810688019,-0.06511218845844269,-0.017604131251573563,-0.05396978557109833,0.1004847725853324,0.0905006155371666,0.15908405650407076,-0.22030384838581085,0.027314558625221252,-0.09950422044084857,0.14015948370449127,0.10808469537596582,-0.07209709703062517,-0.03681553890925526,-0.038349519697141066,-0.03067961575771294,0.023814199520375556,-0.006941774392111896,0.11695751296079188,0.12498330044300945,0.17964619449238517,-0.24812991455599093,0.08723237413776348,0.0,0.07671776931843206,-0.0,-0.2301533079552962,0.30687107727372825,-0.0,-0.0,-0.3835888465921603,-0.30687107727372825,0.07671776931843206,-0.15343553863686413,0.4603066159105924,-0.2301533079552962,-0.5370243852290244
6547,150.78835014199998,150.790329172,150.79223162899999,150.793208626,150.793364104,150.793369604,150.794354878,right_hip_pitch,12,1,0,6.5,29,1083,1,1,2226,200,-0.11457580490969121,0.15940974280238152,0.117903558537364,-0.1272554099559784,0.0435338169336319,-0.05311812460422516,-0.07123947888612747,-0.012103389948606491,-0.0434880331158638,0.10227836575359106,0.0906088687479496,0.12431604880839586,-0.19725067913532257,0.025440514087677002,-0.09950422044084857,0.14169346449237707,0.10808469537596582,-0.07363107781851097,-0.03067961575771294,-0.038349519697141066,-0.03067961575771294,0.017678276368833234,-0.013077697543654218,0.12002547453656304,0.1234493196551241,0.18424813685604213,-0.24812991455599093,0.07802848941044956,0.0,0.07671776931843206,-0.07671776931843206,-0.2301533079552962,0.30687107727372825,-0.0,-0.0,-0.30687107727372825,-0.30687107727372825,0.07671776931843206,-0.07671776931843206,0.30687107727372825,-0.07671776931843206,-0.6137421545474565
6548,150.80844254500002,150.81042870400003,150.81232921800003,150.813300548,150.813456026,150.813461192,150.814438319,left_knee,23,1,0,6.6,27,1153,1,1,2100,100,-0.12221566750667989,0.1575445607304573,0.155463932082057,-0.16353336721658707,0.062196746468544006,-0.05035601556301117,-0.08109042048454285,0.0008615003898739815,-0.026567433029413223,0.10391155537217855,0.10264953598380089,0.09595564473420382,-0.16715560853481293,0.023885250091552734,-0.10103820122873437,0.14169346449237707,0.10808469537596582,-0.07823302018216749,-0.024543692606170175,-0.03988350048502687,-0.03067961575771294,0.011542353217290469,-0.020747601483082787,0.12002547453656304,0.11884737729146713,0.1873160984318133,-0.24812991455599093,0.06729062389525027,0.0,0.07671776931843206,-0.0,-0.07671776931843206,0.3835888465921603,-0.07671776931843206,-0.0,-0.2301533079552962,-0.30687107727372825,0.07671776931843206,-0.30687107727372825,0.15343553863686413,0.0,-0.4603066159105924
6549,150.82848626400002,150.83045270200003,150.83235414100002,150.833312786,150.833469005,150.833474208,150.834447557,right_knee,13,1,0,6.6,29,1218,4,1,1913,150,-0.13017547293566167,0.15201722458004951,0.20388218574225903,-0.21183542907238007,0.06975182890892029,-0.04403683543205261,-0.08846340328454971,0.023221351206302643,-0.007550159003585577,0.10819598939269781,0.11460038833320141,0.06576820183545351,-0.13293913751840591,0.024387404322624207,-0.10103820122873437,0.14169346449237707,0.10808469537596582,-0.08436894333371026,-0.015339807878856249,-0.03988350048502687,-0.03067961575771294,0.006940410853633505,-0.02688352463462511,0.11849149374867768,0.11117747335203901,0.1873160984318133,-0.24352797219233396,0.0596207199558217,-0.07671776931843206,-0.0,-0.0,-0.15343553863686413,0.3835888465921603,-0.0,-0.0,-0.30687107727372825,-0.30687107727372825,-0.07671776931843206,-0.30687107727372825,0.07671776931843206,0.2301533079552962,-0.4603066159105924
6550,150.84855342699998,150.850524846,150.852455692,150.853431781,150.85358787100003,150.853592722,150.854570608,left_ankle,24,1,0,6.5,29,301,10,1,2051,33018,-0.13668358488939703,0.1484069600701332,0.24427038244903088,-0.25511695444583893,0.07099682092666626,-0.036765605211257935,-0.09265217185020447,0.035761330276727676,0.004102190025150776,0.1156507944688201,0.12019462371245027,0.044621036387979984,-0.10639175027608871,0.018407166004180908,-0.10410616280450553,0.14169346449237707,0.10808469537596582,-0.09203884727313838,-0.006135923151542766,-0.03988350048502687,-0.03067961575771294,0.0038724492778623443,-0.033019447786167874,0.11695751296079188,0.1081095117762674,0.1857821176439275,-0.2373920490407912,0.05501877759216518,-0.07671776931843206,-0.0,-0.0,-0.3835888465921603,0.3835888465921603,-0.0,-0.0,-0.15343553863686413,-0.30687107727372825,-0.0,-0.15343553863686413,0.0,0.30687107727372825,-0.30687107727372825
6551,150.86863251600002,150.87061510200002,150.87253230000002,150.873512778,150.87366612600002,150.87367107000003,150.874641475,right_ankle,14,1,0,6.6,29,131,3,1,2114,32968,-0.14112869068048894,0.1446700617671013,0.2665483932942152,-0.27973543107509613,0.06448724865913391,-0.03224062919616699,-0.09685398638248444,0.04292964190244675,0.007497856393456459,0.11561524029821157,0.12052142259199172,0.03586237970739603,-0.09344395250082016,0.01572510600090027,-0.1087081051681625,0.14322744528026288,0.10961867616385118,-0.1012427320004523,0.003067961575771161,-0.03988350048502687,-0.0337475773334841,0.0038724492778623443,-0.036087409361939035,0.11695751296079188,0.10504155020049624,0.17964619449238517,-0.22818816431347727,0.05041683522850822,-0.2301533079552962,-0.0,-0.0,-0.3835888465921603,0.4603066159105924,-0.0,-0.07671776931843206,-0.07671776931843206,-0.30687107727372825,-0.07671776931843206,-0.15343553863686413,-0.15343553863686413,0.5370243852290244,-0.30687107727372825
6552,150.88867654999999,150.89063783999998,150.89253807500003,150.89350731300001,150.89366162400003,150.89366660599998,150.894644343,left_hip_pitch,22,1,0,6.5,30,250,5,1,1711,32968,-0.1424298898782581,0.14007822051644325,0.2798007410019636,-0.2892003506422043,0.054228752851486206,-0.029551148414611816,-0.10064107924699783,0.04353770986199379,0.008640679530799389,0.1170168062672019,0.12158427864778787,0.033060927875339985,-0.08625610172748566,0.01820242404937744,-0.11484402831970482,0.14322744528026288,0.11575459931539395,-0.1150485590914232,0.01380582709097089,-0.03988350048502687,-0.03988350048502687,0.002338468489976986,-0.036087409361939035,0.11695751296079188,0.10504155020049624,0.17044230976507124,-0.21591631801039218,0.045814892864851256,-0.2301533079552962,0.07671776931843206,0.15343553863686413,-0.4603066159105924,0.5370243852290244,-0.0,-0.15343553863686413,0.0,-0.07671776931843206,-0.0,0.0,-0.4603066159105924,0.5370243852290244,-0.15343553863686413
6553,150.90874402800003,150.91074577999998,150.912714125,150.913687066,150.91387071,150.913876414,150.91483276300002,right_hip_pitch,12,1,0,6.4,29,329,5,1,2205,33168,-0.14626950188539922,0.13900482840836048,0.2951846104115248,-0.29203779995441437,0.03361248970031738,-0.02660462260246277,-0.10346778482198715,0.045081909745931625,0.006777615286409855,0.11786361690610647,0.12131695274729282,0.027475138194859028,-0.08137677609920502,0.021321862936019897,-0.12097995147124758,0.14322744528026288,0.12342450325482207,-0.12885438618239364,0.024543692606170175,-0.03988350048502687,-0.04448544284868339,0.0008044877020911834,-0.036087409361939035,0.11695751296079188,0.10504155020049624,0.15663648267410035,-0.2021104909194213,0.04121295050119429,-0.3835888465921603,-0.0,0.30687107727372825,-0.6904599238658886,0.5370243852290244,-0.0,-0.30687107727372825,-0.07671776931843206,0.0,-0.0,0.0,-0.6137421545474565,0.7671776931843206,-0.2301533079552962
6554,150.92882850600003,150.93081342400004,150.932724493,150.933702082,150.93393991000002,150.933945336,150.934833909,left_knee,23,1,0,6.5,28,1394,5,1,2147,550,-0.14935244782827795,0.13362797442823648,0.30509027652442455,-0.29112546145915985,0.02078261971473694,-0.02187703549861908,-0.10732252523303032,0.04509684816002846,0.008191772736608982,0.12007140275090933,0.12199119839351624,0.022781246341764927,-0.07844523340463638,0.02523905038833618,-0.1271158746227899,0.14322744528026288,0.132628387982136,-0.1472621556370215,0.0337475773334841,-0.038349519697141066,-0.04908738521234035,0.0038724492778623443,-0.03455342857405323,0.11695751296079188,0.10350756941261044,0.1428306555831299,-0.18677068304056504,0.03661100813753733,-0.2301533079552962,-0.0,0.3835888465921603,-0.8438954625027527,0.5370243852290244,-0.0,-0.2301533079552962,-0.07671776931843206,0.0,-0.0,-0.07671776931843206,-0.6137421545474565,0.6904599238658886,-0.30687107727372825
6555,150.948891132,150.95087149500003,150.952783212,150.95375085700002,150.953935853,150.953940501,150.95496383000003,right_knee,13,1,0,6.6,29,1347,7,1,1961,500,-0.14852266176603734,0.13077833410352468,0.31880289129912853,-0.28682948648929596,0.0026112832129001617,-0.020665735006332397,-0.1104816421866417,0.049256909638643265,0.010293996892869473,0.11910013016313314,0.11918363068252802,0.02060351800173521,-0.07061435282230377,0.03030523657798767,-0.13171781698644686,0.14322744528026288,0.14950217664887805,-0.1672039058795347,0.04141748127291223,-0.03681553890925526,-0.053689327575997314,0.008474391641519308,-0.02841750542251091,0.11542353217290607,0.10197358862472508,0.12442288612850207,-0.1714308751617088,0.03354304656176617,-0.2301533079552962,-0.0,0.5370243852290244,-0.9973310011396168,0.3835888465921603,0.07671776931843206,-0.2301533079552962,0.30687107727372825,0.15343553863686413,-0.07671776931843206,-0.07671776931843206,-0.8438954625027527,0.7671776931843206,-0.15343553863686413
6556,150.96896083200002,150.970953917,150.972856134,150.974043626,150.97419056700002,150.97419564100002,150.975342949,left_ankle,24,1,0,6.6,29,33,0,1,2019,32918,-0.14737802906893194,0.1252742689102888,0.3291214983910322,-0.2770514339208603,-0.014575980603694916,-0.016427159309387207,-0.10980679467320442,0.05769382044672966,0.01390299666672945,0.11769832577556372,0.12103353824932128,0.013187108561396599,-0.06708084046840668,0.02490817755460739,-0.13478577856221846,0.14322744528026288,0.1663759653156201,-0.18561167533416256,0.04295146206079803,-0.035281558121369905,-0.05829126993965428,0.013076334005176271,-0.023815563058853947,0.11388955138502072,0.10657553098838204,0.11061705903753118,-0.1576250480707379,0.027407123410223402,-0.2301533079552962,-0.0,0.8438954625027527,-0.9973310011396168,0.2301533079552962,0.15343553863686413,-0.2301533079552962,0.2301533079552962,0.30687107727372825,-0.07671776931843206,0.2301533079552962,-0.8438954625027527,0.7671776931843206,-0.15343553863686413
6557,150.98902745800004,150.99100743300002,150.992930186,150.99395507,150.99410695600002,150.99411232600002,150.995086675,right_ankle,14,1,0,6.6,29,1075,0,1,2097,32968,-0.14274934097193182,0.12283784430474043,0.32901635579764843,-0.26492486894130707,-0.034335898235440254,-0.015390783548355103,-0.11494766920804977,0.061247631907463074,0.016917426139116287,0.12227789964526892,0.12351254909299314,0.012748410925269127,-0.06494057923555374,0.034685708582401276,-0.13785374013798962,0.14476142606814824,0.1863177155581333,-0.20555342557667577,0.04448544284868339,-0.0337475773334841,-0.06289321230331124,0.017678276368833234,-0.020747601483082787,0.11388955138502072,0.1081095117762674,0.09834521273444609,-0.14381922097976702,0.02280518104656644,-0.15343553863686413,-0.0,0.9206132318211848,-0.9206132318211848,0.15343553863686413,0.07671776931843206,-0.2301533079552962,0.2301533079552962,0.2301533079552962,-0.0,0.07671776931843206,-0.5370243852290244,0.6137421545474565,-0.30687107727372825
6558,151.00908021400002,151.011049059,151.012979775,151.013971124,151.014121528,151.014126768,151.015103858,left_hip_pitch,22,1,0,6.6,29,413,11,1,1651,33318,-0.13408558233641088,0.11898209620267153,0.3267455082386732,-0.25360049307346344,-0.04873636644333601,-0.01766665279865265,-0.11961330473423004,0.0706014558672905,0.022307831794023514,0.12215797509998083,0.12386263394728303,0.019253832288086414,-0.055082447826862335,0.05638773739337921,-0.13938772092587542,0.14782938764391984,0.20472548501276117,-0.22242721424341783,0.04448544284868339,-0.03067961575771294,-0.0674951546669682,0.022280218732490198,-0.016145659119425823,0.11388955138502072,0.1081095117762674,0.08300540485558984,-0.13154737467668193,0.02127120025868108,-0.15343553863686413,0.2301533079552962,0.9973310011396168,-0.8438954625027527,-0.0,0.07671776931843206,-0.2301533079552962,0.15343553863686413,0.15343553863686413,-0.0,0.0,-0.7671776931843206,0.6137421545474565,-0.15343553863686413
6559,151.029144526,151.031111315,151.03302201300002,151.03403412000003,151.03418358000002,151.034188635,151.03516411300004,right_hip_pitch,12,1,0,6.5,29,240,3,1,2148,33218,-0.12920931144617498,0.11903134360909462,0.33040535263717175,-0.24653883278369904,-0.060826195403933525,-0.015755966305732727,-0.12104230374097824,0.07020808756351471,0.022504977881908417,0.12399434205144644,0.1225175061263144,0.012499266304075718,-0.05159737542271614,0.0616580992937088,-0.13938772092587542,0.14629540685603404,0.22159927367950322,-0.23776702212227452,0.04295146206079803,-0.02914563496982714,-0.07209709703062517,0.02534818030826136,-0.01154371675576886,0.11388955138502072,0.1081095117762674,0.06919957776461895,-0.12080950916148264,0.019737219470795278,0.0,-0.0,0.8438954625027527,-0.7671776931843206,-0.0,0.15343553863686413,-0.2301533079552962,0.2301533079552962,0.2301533079552962,-0.0,0.0,-0.6904599238658886,0.5370243852290244,-0.07671776931843206
6560,151.04923324400002,151.05121373699998,151.053107343,151.05411783899999,151.05426705700003,151.054271872,151.05524548000002,left_knee,23,1,0,6.6,28,1188,0,1,2214,450,-0.1245880292262882,0.11111741978675127,0.3360129874199629,-0.24177609384059906,-0.06405288353562355,-0.015553951263427734,-0.11996791884303093,0.07497620582580566,0.028098013252019882,0.12208292540162802,0.1211171894101426,0.00471329502761364,-0.045874591916799545,0.062236323952674866,-0.13938772092587542,0.14169346449237707,0.23847306234624527,-0.25157284921324496,0.03681553890925526,-0.026077673394055978,-0.07516505860639633,0.029950122671918322,-0.006941774392111896,0.11542353217290607,0.1081095117762674,0.05846171224941922,-0.11007164364628291,0.019737219470795278,0.0,-0.2301533079552962,0.9206132318211848,-0.6904599238658886,-0.15343553863686413,0.07671776931843206,-0.15343553863686413,0.15343553863686413,0.2301533079552962,0.07671776931843206,0.0,-0.6137421545474565,0.5370243852290244,-0.07671776931843206
6561,151.06927683300003,151.07124377099998,151.073147562,151.07417300200004,151.07432188700002,151.074326943,151.07529671800003,right_knee,13,1,0,6.6,29,1257,6,1,2006,300,-0.11848975135944784,0.10441577062010765,0.3385068457573652,-0.237706258893013,-0.06860313192009926,-0.01876850426197052,-0.12193924561142921,0.08066780120134354,0.033625174313783646,0.12252082582563162,0.11958214221522212,0.0007256390526890755,-0.03836607187986374,0.06697584688663483,-0.13938772092587542,0.1386255029166059,0.2538128702251015,-0.2623107147284447,0.024543692606170175,-0.026077673394055978,-0.07823302018216749,0.03608604582346109,-0.002339832028454933,0.11695751296079188,0.1081095117762674,0.04925782752210574,-0.10086775891896899,0.019737219470795278,0.0,-0.15343553863686413,0.7671776931843206,-0.4603066159105924,-0.3835888465921603,0.07671776931843206,-0.15343553863686413,0.30687107727372825,0.2301533079552962,-0.0,0.0,-0.4603066159105924,0.4603066159105924,0.0
