sample,phase,active_joint,read_start_s,position_read_end_s,velocity_read_end_s,write_start_s,write_end_s,left_hip_yaw_target_rad,left_hip_roll_target_rad,left_hip_pitch_target_rad,left_knee_target_rad,left_ankle_target_rad,neck_pitch_target_rad,head_pitch_target_rad,head_yaw_target_rad,head_roll_target_rad,right_hip_yaw_target_rad,right_hip_roll_target_rad,right_hip_pitch_target_rad,right_knee_target_rad,right_ankle_target_rad,left_hip_yaw_actual_rad,left_hip_roll_actual_rad,left_hip_pitch_actual_rad,left_knee_actual_rad,left_ankle_actual_rad,neck_pitch_actual_rad,head_pitch_actual_rad,head_yaw_actual_rad,head_roll_actual_rad,right_hip_yaw_actual_rad,right_hip_roll_actual_rad,right_hip_pitch_actual_rad,right_knee_actual_rad,right_ankle_actual_rad,left_hip_yaw_velocity_rad_s,left_hip_roll_velocity_rad_s,left_hip_pitch_velocity_rad_s,left_knee_velocity_rad_s,left_ankle_velocity_rad_s,neck_pitch_velocity_rad_s,head_pitch_velocity_rad_s,head_yaw_velocity_rad_s,head_roll_velocity_rad_s,right_hip_yaw_velocity_rad_s,right_hip_roll_velocity_rad_s,right_hip_pitch_velocity_rad_s,right_knee_velocity_rad_s,right_ankle_velocity_rad_s
10,baseline,,0.20009274800008825,0.20214219400008915,0.20413193900003535,0.20414393900000505,0.2043535239999983,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.002863430804053227,0.12021773346197806,0.0175798288907128,-0.12885438618239364,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.010908307824964672,-0.1254114515251396,-0.05696181992348685,0.0,-0.0,-0.0,-0.15343553863686413,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
11,baseline,,0.22009348799997497,0.2221649890000208,0.22415765899995677,0.22417001100006928,0.22438207699997292,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.002863430804053227,0.12021773346197806,0.0175798288907128,-0.12885438618239364,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.013976269400735833,-0.12694543231302496,-0.05696181992348685,0.0,-0.0,-0.0,-0.07671776931843206,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.2301533079552962,-0.07671776931843206,0.0
12,baseline,,0.24011765299997023,0.24219213500009573,0.24425239600009263,0.2442645989999619,0.2444747219999499,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.002863430804053227,0.12021773346197806,0.0175798288907128,-0.12578642460662248,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.017044230976506994,-0.12847941310091077,-0.05696181992348685,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.07671776931843206,-0.07671776931843206,0.0
13,baseline,,0.2600934489998963,0.2621514320001097,0.2641278070000226,0.2641404920000241,0.26434776199994303,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.002863430804053227,0.12021773346197806,0.0175798288907128,-0.12578642460662248,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.018578211764392796,-0.12847941310091077,-0.05696181992348685,0.0,-0.0,-0.0,0.15343553863686413,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.07671776931843206,-0.07671776931843206,0.0
14,baseline,,0.2800947079999787,0.2821577459999389,0.2841396020000957,0.2841523980000602,0.2843628349999108,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.002863430804053227,0.12021773346197806,0.019113809678598603,-0.12578642460662248,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.018578211764392796,-0.12847941310091077,-0.05696181992348685,0.0,-0.0,0.07671776931843206,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
15,baseline,,0.30009105899989663,0.30213719099992886,0.3041359349999766,0.30414915699998346,0.30436211200003527,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.002863430804053227,0.12021773346197806,0.022181771254369764,-0.12732040539450828,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.018578211764392796,-0.12847941310091077,-0.05696181992348685,0.0,-0.0,0.15343553863686413,-0.07671776931843206,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
16,baseline,,0.320085631999973,0.322110893999934,0.3241058799999337,0.3241190829999141,0.32433379799999784,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.004397411591939029,0.12021773346197806,0.022181771254369764,-0.12732040539450828,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.018578211764392796,-0.12847941310091077,-0.05696181992348685,-0.07671776931843206,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
17,baseline,,0.34008746499989684,0.34212717099990186,0.34412567399999716,0.3441369150000355,0.34434261100000185,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.004397411591939029,0.12021773346197806,0.022181771254369764,-0.12732040539450828,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.018578211764392796,-0.12847941310091077,-0.05696181992348685,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
18,baseline,,0.3600900010001169,0.3621309289999317,0.36412928499999,0.36414165499991213,0.3643463509999947,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.004397411591939029,0.12021773346197806,0.022181771254369764,-0.12732040539450828,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.017044230976506994,-0.12847941310091077,-0.05696181992348685,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.07671776931843206,0.0,0.0
19,baseline,,0.38009029699992425,0.3821351690000938,0.3841278019999663,0.38414026500004184,0.3843420910000077,0.0024434609527920616,0.12217304763960307,0.008377580409572781,-0.13962634015954636,-0.07906341511534314,-0.20786871391252465,-0.14189526818713902,0.0,0.0,0.0041887902047863905,0.12217304763960307,0.011693705988362009,-0.13962634015954636,-0.05619960191421741,-0.004397411591939029,0.11868375267409226,0.022181771254369764,-0.12732040539450828,-0.07823302018216749,-0.21015536794033274,-0.1365242901218222,-0.0053314354494515825,0.012999975850401316,0.004976915445140277,0.11117747335203901,0.017044230976506994,-0.12847941310091077,-0.05696181992348685,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.07671776931843206,0.0,0.0
